College Name,State,UGC Recognition
Indian Institute of Technology Delhi,Delhi,Recognized
Indian Institute of Technology Bombay,Maharashtra,Recognized
Indian Institute of Technology Madras,Tamil Nadu,Recognized
Indian Institute of Technology Kanpur,Uttar Pradesh,Recognized
Indian Institute of Technology Kharagpur,West Bengal,Recognized
Indian Institute of Technology Roorkee,Uttarakhand,Recognized
Indian Institute of Technology Guwahati,Assam,Recognized
Indian Institute of Technology Hyderabad,Telangana,Recognized
Indian Institute of Science Bangalore,Karnataka,Recognized
Delhi University,Delhi,Recognized
Mumbai University,Maharashtra,Recognized
Jawaharlal Nehru University,Delhi,Recognized
Banaras Hindu University,Uttar Pradesh,Recognized
Anna University,Tamil Nadu,Recognized
Savitribai Phule Pune University,Maharashtra,Recognized
University of Calcutta,West Bengal,Recognized
Aligarh Muslim University,Uttar Pradesh,Recognized
University of Hyderabad,Telangana,Recognized
Jadavpur University,West Bengal,Recognized
Osmania University,Telangana,Recognized
Madras Christian College,Tamil Nadu,Recognized
St. Xavier's College Mumbai,Maharashtra,Recognized
Hindu College Delhi,Delhi,Recognized
Lady Shri Ram College,Delhi,Recognized
Miranda House Delhi,Delhi,Recognized
Loyola College Chennai,Tamil Nadu,Recognized
Presidency College Chennai,Tamil Nadu,Recognized
Fergusson College Pune,Maharashtra,Recognized
Christ University Bangalore,Karnataka,Recognized
Manipal Academy of Higher Education,Karnataka,Recognized
Amity University,Uttar Pradesh,Recognized
VIT Vellore,Tamil Nadu,Recognized
SRM University,Tamil Nadu,Recognized
Lovely Professional University,Punjab,Recognized
Chandigarh University,Punjab,Recognized
Symbiosis International University,Maharashtra,Recognized
BITS Pilani,Rajasthan,Recognized
National Institute of Technology Trichy,Tamil Nadu,Recognized
National Institute of Technology Warangal,Telangana,Recognized
National Institute of Technology Surathkal,Karnataka,Recognized
Indian School of Business,Telangana,Recognized
Indian Institute of Management Ahmedabad,Gujarat,Recognized
Indian Institute of Management Bangalore,Karnataka,Recognized
Indian Institute of Management Calcutta,West Bengal,Recognized
Delhi Technological University,Delhi,Recognized
Netaji Subhas University of Technology,Delhi,Recognized
Indraprastha Institute of Information Technology,Delhi,Recognized
PSG College of Technology,Tamil Nadu,Recognized
College of Engineering Pune,Maharashtra,Recognized
RV College of Engineering,Karnataka,Recognized
BMS College of Engineering,Karnataka,Recognized
MS Ramaiah Institute of Technology,Karnataka,Recognized
PES University,Karnataka,Recognized
Dayananda Sagar College,Karnataka,Recognized
Sathyabama University,Tamil Nadu,Recognized
St. Joseph's College Bangalore,Karnataka,Recognized
Mount Carmel College Bangalore,Karnataka,Recognized
Stella Maris College Chennai,Tamil Nadu,Recognized
Women's Christian College Chennai,Tamil Nadu,Recognized
Ethiraj College for Women,Tamil Nadu,Recognized
MOP Vaishnav College for Women,Tamil Nadu,Recognized
Presidency University Bangalore,Karnataka,Recognized
Jain University Bangalore,Karnataka,Recognized
Ramaiah University,Karnataka,Recognized
Sri Krishna College of Technology,Tamil Nadu,Recognized
Kumaraguru College of Technology,Tamil Nadu,Recognized
Thiagarajar College of Engineering,Tamil Nadu,Recognized
Mepco Schlenk Engineering College,Tamil Nadu,Recognized
Kongu Engineering College,Tamil Nadu,Recognized
Sri Ramakrishna Engineering College,Tamil Nadu,Recognized
Coimbatore Institute of Technology,Tamil Nadu,Recognized
Government College of Technology Coimbatore,Tamil Nadu,Recognized
Bharathiar University,Tamil Nadu,Recognized
Alagappa University,Tamil Nadu,Recognized
Periyar University,Tamil Nadu,Recognized
Madurai Kamaraj University,Tamil Nadu,Recognized
Annamalai University,Tamil Nadu,Recognized
Vellore Institute of Technology,Tamil Nadu,Recognized
SASTRA University,Tamil Nadu,Recognized
Karunya University,Tamil Nadu,Recognized
Amrita Vishwa Vidyapeetham,Kerala,Recognized
Cochin University of Science and Technology,Kerala,Recognized
Kerala University,Kerala,Recognized
Calicut University,Kerala,Recognized
Mahatma Gandhi University Kerala,Kerala,Recognized
St. Thomas College Thrissur,Kerala,Recognized
CMS College Kottayam,Kerala,Recognized
Maharaja's College Ernakulam,Kerala,Recognized
Government Engineering College Thrissur,Kerala,Recognized
NIT Calicut,Kerala,Recognized
IIT Palakkad,Kerala,Recognized
Central University of Kerala,Kerala,Recognized
IISER Thiruvananthapuram,Kerala,Recognized
CUSAT,Kerala,Recognized
Mar Athanasius College of Engineering,Kerala,Recognized
Model Engineering College,Kerala,Recognized
Rajagiri College of Engineering,Kerala,Recognized
